datetime,ECOPETROL,PFGRUPSURA,GRUPOSURA,NUTRESA,ISA,GEB,CELSIA,GRUPOARGOS,PFGRUPOARG,CORFICOLCF,PFCORFICOL,GRUPOAVAL,PFAVAL,PFDAVVNDA,CEMARGOS,PFCEMARGOS,PROMIGAS,MINEROS,ETB,ELCONDOR,OCCIDENTE,BOGOTA,BVC,TERPEL
2023-05-15 08:30:00,2135.0,9184.8923,32671.7154,59360.0,16460.0,1720.0,,5697.8124,3191.6484,13000.0,11650.0,511.29999,510.0,19000.0,2731.248531,,,2117.0,,,,35990.0,,7200.0
2023-05-23 08:30:00,2065.0,9024.4575,31577.146,57800.0,16200.0,1753.0,2599.0,5728.4458,3185.73794,13550.0,11510.0,500.0,504.5,18500.0,2734.834023,1946.33404,4151.0,2000.0,,,14000.0,33810.0,,7100.0
2023-05-29 08:30:00,2116.0,,,,18000.0,1840.0,2840.0,,,14490.0,11480.0,458.10001,509.89999,19270.0,3047.6682,2083.09843,4172.0,1950.0,100.0,,,32950.0,,7045.0
2023-06-05 08:30:00,2172.0,,,,17200.0,1986.0,2740.0,,,15280.0,12300.0,505.0,513.0,20290.0,3271.76145,2279.4065,4100.0,,95.0,,,33180.0,10240.0,7360.0
2023-06-13 08:30:00,2200.0,10789.2403,28175.3188,57780.0,17750.0,1839.0,,6169.56676,3587.64922,15000.0,12250.0,,475.0,20410.0,3164.19669,2299.87464,4620.0,1905.0,,,,32400.0,9745.0,7125.0
2023-06-20 08:30:00,2140.0,10556.60984,27246.116,54000.0,16980.0,1835.0,2685.0,5581.40548,,14400.0,12000.0,465.60001,486.0,20000.0,2981.336598,2232.888,4670.0,1900.0,,,,31200.0,9900.0,7200.0
2023-06-26 08:30:00,,10388.1533,28348.56,52430.0,16890.0,1825.0,2680.0,5912.2462,3552.18646,14850.0,11530.0,476.89999,,19610.0,3047.6682,2113.80064,4400.0,1850.0,90.0,,,32550.0,9470.0,7000.0
2023-07-04 08:30:00,2160.0,10652.87072,29143.8946,52800.0,16980.0,1840.0,,5817.28266,3599.47014,15000.0,11800.0,,492.0,18990.0,2952.652662,2231.95763,4579.0,1834.0,,,,29990.0,10200.0,7265.0
2023-07-10 08:30:00,2167.0,10749.1316,30017.9752,52000.0,17100.0,1836.0,2720.0,5850.9794,3646.75382,15470.0,12370.0,,490.0,19840.0,3132.823635,2134.26878,4700.0,1874.0,,,,30680.0,,7300.0
2023-07-17 08:30:00,2192.0,11061.97946,30710.94,,17310.0,1829.0,2700.0,5982.70302,3587.64922,15790.0,12710.0,,512.0,20400.0,3209.01534,2157.52803,4699.0,1912.0,85.0,,,30800.0,,
2023-07-24 08:30:00,2206.0,11551.3056,28482.4282,51000.0,17070.0,1773.0,2650.0,5881.6128,3593.55968,15490.0,13190.0,,505.5,19800.0,3137.3055,2137.99026,4700.0,1898.0,84.900002,,,30180.0,,7315.0
2023-07-31 08:30:00,2295.0,10989.7838,28348.56,50600.0,17000.0,1760.0,2600.0,5872.42278,3664.4852,15430.0,13290.0,504.0,500.0,19700.0,3186.606015,2138.92063,,1930.0,83.0,,,30380.0,9390.0,7260.0
2023-08-08 08:30:00,2300.0,,29451.004,51480.0,16820.0,,2585.0,5930.62624,3717.67934,15540.0,,,508.0,19400.0,3057.528303,2183.57839,4699.0,1947.0,85.0,,,29510.0,,7225.0
2023-08-14 08:30:00,2330.0,10829.349,27167.37,51800.0,16330.0,1769.0,2510.0,5752.95252,3484.21617,14600.0,12450.0,475.0,495.0,18500.0,3002.84955,2155.66729,4700.0,1913.0,,,,29450.0,,7005.0
2023-08-22 08:30:00,2310.0,10027.175,26379.91,52000.0,15520.0,1758.0,2550.0,5559.9621,3487.1714,12610.0,11600.0,,463.0,18100.0,2834.331426,2056.1177,4600.0,1881.0,,,12000.0,28010.0,,7100.0
2023-08-28 08:30:00,2385.0,9626.088,23923.0348,51450.0,15550.0,1631.0,2450.0,4901.344,3309.8576,11750.0,11150.0,472.0,475.10001,18230.0,2760.82884,1883.99925,4499.0,1871.0,,,,26500.0,9000.0,6900.0
2023-09-04 08:30:00,2429.0,9786.5228,24411.26,50410.0,14300.0,1668.0,2230.0,5146.4112,3428.0668,11130.0,10670.0,460.0,460.0,17000.0,3752.217378,2374.30424,4300.0,1835.0,,,,25600.0,,7000.0
2023-09-11 08:30:00,2411.0,8503.0444,22828.4654,46200.0,15300.0,1640.0,2210.0,5079.01772,3368.9622,13600.0,11300.0,485.0,506.0,15810.0,3495.8547,2281.26724,4350.0,1899.0,,,,24980.0,9050.0,6370.0
2023-09-18 08:30:00,2330.0,8864.0227,23938.784,48200.0,15200.0,1604.0,2300.0,5434.36516,3490.12663,13060.0,,484.0,490.0,16200.0,3782.69406,2733.42706,4100.0,1807.0,,,,25000.0,8210.0,6660.0
2023-09-25 08:30:00,2365.0,9842.67498,25190.8454,49520.0,14920.0,1747.0,2579.0,5728.4458,3909.76929,13750.0,10720.0,,514.5,17500.0,4401.19143,3582.85487,4187.0,1799.0,,,,25200.0,9000.0,6820.0
2023-10-02 08:30:00,2359.0,10027.175,25986.18,51000.0,14100.0,1626.0,2396.0,5458.87188,4107.7697,13400.0,11460.0,500.0,515.09998,16010.0,4320.51786,3423.7616,4192.0,1765.0,,,,25090.0,8525.0,6710.0
2023-10-09 08:30:00,2585.0,9938.93586,25198.72,50000.0,14260.0,1650.0,2400.0,5544.6454,3989.5605,13450.0,11600.0,,510.0,16500.0,4171.719942,3116.7395,4300.0,1780.0,77.0,600.0,,25490.0,,6700.0
2023-10-17 08:30:00,2575.0,9866.7402,25592.45,48890.0,15000.0,1670.0,2570.0,5661.05232,3889.08268,13000.0,,498.79999,480.0,16310.0,4275.69921,3181.8654,4200.0,1835.0,,590.0,,25500.0,,
2023-10-23 08:30:00,2470.0,9706.3054,25986.18,49100.0,14400.0,1682.0,2404.0,5572.21546,3900.9036,,11650.0,498.70001,470.0,16300.0,4300.797654,3122.32172,4237.0,1782.0,78.699997,,,25000.0,8000.0,6600.0
2023-10-30 08:30:00,2460.0,9626.088,25742.0674,48370.0,14650.0,1747.0,2355.0,5391.4784,3800.42578,,11000.0,,460.0,15700.0,4165.445331,3116.7395,4100.0,1780.0,,,,24760.0,9000.0,6620.0
2023-11-07 09:30:00,2350.0,9706.3054,25954.6816,48300.0,14940.0,1730.0,2450.0,5636.5456,4013.20234,12520.0,,444.0,447.0,15860.0,4517.71992,3395.8505,,1760.0,78.5,,,24780.0,9500.0,6570.0
2023-11-14 09:30:00,2480.0,9946.9576,25592.45,47980.0,15860.0,1780.0,2465.0,5667.179,4107.7697,12700.0,,464.0,450.0,15800.0,4468.419405,,4065.0,1700.0,,,,23960.0,10000.0,6870.0
2023-11-20 09:30:00,2575.0,9786.5228,24804.99,48800.0,15240.0,1850.0,2500.0,5783.58592,4143.23246,12040.0,11160.0,448.0,437.0,15600.0,4804.55928,3674.9615,4130.0,1680.0,,,,24320.0,10400.0,7000.0
2023-11-27 09:30:00,2545.0,9930.91412,24395.5108,49980.0,15220.0,1920.0,2440.0,6359.49384,4332.36718,11940.0,10780.0,458.0,448.0,15560.0,4885.23285,3721.48,4170.0,1700.0,,,,24460.0,11240.0,7140.0
2023-12-04 09:30:00,2465.0,9963.00108,24017.53,,15800.0,1795.0,2445.0,6371.7472,4391.47178,11700.0,10260.0,500.0,439.0,15820.0,5037.61626,3744.73925,4140.0,1720.0,,,,24000.0,11400.0,6920.0
2023-12-11 09:30:00,2365.0,10364.08808,23293.0668,49000.0,15160.0,1800.0,2735.0,7474.5496,4787.4726,11980.0,10500.0,458.0,460.0,16780.0,5539.58514,4121.5391,4340.0,1725.0,,,,24520.0,11580.0,7010.0
2023-12-18 09:30:00,2350.0,10701.00116,23450.5588,45000.0,15040.0,1850.0,2930.0,7462.29624,4704.72616,12300.0,10840.0,466.0,461.0,17720.0,5512.69395,4182.01315,4270.0,1710.0,88.0,,,26500.0,,7500.0
