,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
ECOPETROL,0.4477211796246652,0.463414634146341,0.09311740890688247,-0.18181818181818177,-19.24,2700.0,2180.43,10.55,0.7877305866486213
BVC,0.19858156028368779,0.7604166666666652,1.1125000000000007,0.6683119447186565,-18.22,16900.0,13820.88,7.55,0.5228582349419971
PFGRUPOARG,2.220446049250313e-16,0.500334512274651,2.3325612045373316,1.4223462499940958,30.24,13000.0,16930.8,10.58,0.5161423837679737
GRUPOARGOS,-0.017647058823529682,0.34407444226640993,1.9970126101333503,1.0131336550341805,27.47,16700.0,21288.13,4.78,0.4851876850813962
ETB,0.07526881720430079,-0.32432432432432423,-0.3646759605340263,-0.6969696969696969,0.0,50.0,50.0,,0.4677565619113805
PROMIGAS,0.03379416282642089,-0.07427785419532262,0.5883880103847068,-0.05477528089887662,4.72,6730.0,7047.86,3.29,0.4431832288430827
CEMARGOS,0.06296296296296289,0.21280004208204928,1.6692722893677465,1.2157730872640928,-6.01,11480.0,10790.44,5.17,0.42867455277843947
GEB,0.001672240802675029,0.20523138832998056,0.7806183115338896,0.2637130801687786,-0.22,2995.0,2988.52,3.23,0.3872760636629686
NUTRESA,0.14716981132075513,2.4942528735632177,5.191446028513231,6.790876473603276,-39.69,304000.0,183330.49,3.78,0.37519055296317483
CELSIA,0.09199999999999986,0.4501992031872515,1.2712146422628963,0.28108869075551346,-27.08,5460.0,3981.57,5.19,0.369664834403685
ISA,0.0705973622963536,0.6159250585480092,0.9166666666666679,0.22123893805309836,-24.27,27600.0,20901.85,3.36,0.3585896607970236
OCCIDENTE,-0.027906976744185963,0.2294117647058822,0.741666666666666,-0.12916666666666698,0.0,20900.0,20900.0,,0.3562532516532715
PFCEMARGOS,0.011994002998500841,0.20919634124058173,3.3237056301808625,2.9344783337546034,-14.75,13500.0,11508.49,10.51,0.3360971527587787
PFCORFICOL,-0.00898876404494331,0.22500000000000075,0.5141630901287555,-0.11356783919598012,-11.31,17640.0,15644.3,4.53,0.3281784410816419
BOGOTA,-0.01023017902813328,0.4408041697691729,0.5479999999999992,-0.3655737704918036,-17.41,38700.0,31963.02,11.72,0.30066780294440354
GRUPOSURA,-0.14434782608695662,0.7174096765032689,0.893314061551179,0.22508556923899814,14.12,49200.0,56147.11,11.55,0.2909890985001986
GRUPOAVAL,-0.0077319587628867925,0.7111111111111104,0.5440144065768133,-0.1425389755011126,-29.22,770.0,544.97,11.73,0.25270270869677014
PFDAVVNDA,-0.06985573272589196,0.28947368421052544,0.5030674846625764,-0.3378378378378377,-14.07,24500.0,21052.77,10.58,0.2505583707229396
TERPEL,-0.03343782654127492,0.5704584040747014,1.8030303030303014,1.055555555555554,-24.26,18500.0,14012.37,8.77,0.24620049228210994
CORFICOLCF,-0.14062499999999978,0.09126984126984095,0.2692307692307685,-0.34782608695652206,2.6,16500.0,16929.61,8.44,0.24559155160407797
PFAVAL,-0.021879021879022575,0.6593886462882077,0.6170212765957455,-0.10048528582115523,-27.74,760.0,549.19,6.77,0.2437630153193944
MINEROS,-0.1590612777053455,1.8227571115973737,6.239057239057243,3.10958904109589,5.54,12900.0,13614.15,25.89,0.23827985916090588
PFGRUPSURA,-0.11462788708297689,0.9789014763423369,3.2652686366122365,1.2856399691323337,-7.59,41400.0,38259.33,13.39,0.2299717976749695
ELCONDOR,-0.19999999999999996,-0.1333333333333332,-0.11864406779660985,-0.19492183945125185,0.0,520.0,520.0,,0.1702702702678354
