,momentum_1y,momentum_6m,momentum_3m,momentum_15d
MMM,-0.056073539067630684,-0.059654631083201015,-0.1031255848774092,-0.05873109408760546
AOS,-0.02942487739634292,-0.08388273250105249,-0.03913491246137957,-0.07806324110671936
ABT,-0.17384773499881467,-0.21481704110000732,-0.16266025641025683,-0.04635882460302965
ABBV,0.04845048002785757,-0.03444958541389964,-0.08376804034081109,-0.08241184153243408
ACN,-0.3682246598256501,-0.1546507123488131,-0.2727811308179361,-0.09672078370050119
ADBE,-0.3951878790929455,-0.3205055703217776,-0.318945727646309,-0.15189694723839775
AMD,0.8629464691447781,0.273009564029314,-0.04513905063585988,0.06677075201665361
AES,0.12379421221865061,0.0753846153846165,0.003589375448671772,-0.010615711252653703
AFL,-0.011789244581482894,-0.0036573100484601495,-0.012952898550725012,-0.019436695761720246
A,-0.05360721442885663,-0.06869350862777313,-0.1788146645413704,-0.01374869474416962
APD,-0.007832898172323355,0.10315186246418429,0.19394458726078168,0.07680418062046868
ABNB,0.021637608966375232,0.07970716459652927,-0.03993563487419505,-0.012191450933172532
AKAM,0.43877551020408023,0.5554226475279103,0.31968876860622575,0.17252780282536806
ALB,1.301453104359311,1.056421152030218,0.18067226890756238,0.07483496822752778
ARE,-0.5014556040756927,-0.4292346149267946,-0.015602545678505053,-0.053120063191153144
ALGN,0.06418593448940402,0.4176626293414609,0.11952872616710031,0.018028915385058353
ALLE,0.11658986175115249,-0.15785205352487885,-0.09668199328942473,-0.030929209438741667
LNT,0.11773140035048457,0.07706478354313662,0.07376798285889241,-0.017642117054046502
ALL,-0.0070796460176996145,-0.009259701207578908,-0.006509357200976118,-0.020480392619508403
GOOGL,0.7046833292890078,0.14362459810345363,-0.10461077653506734,-0.05868953503952845
MO,0.11938226618081038,-0.008606116489932814,0.09617672047578574,-0.028610149073934443
AMZN,0.034089778043195684,-0.046616196375315,-0.10527902170168768,-0.02377260981912155
AMCR,-0.17020833333333418,-0.0005018820577171734,-0.03559322033898393,-0.07886216466235019
AEE,0.09749924066011828,0.0773206122043324,0.08769817379088929,-0.02631815323812048
AEP,0.24026599845797647,0.19467137021908498,0.11777990098149727,-0.022632338421811782
AXP,0.08198446686506422,-0.12350796730757863,-0.22114530539735566,-0.008843379101698856
AIG,-0.0901415150434074,-0.00726612170753993,-0.1179386672815309,-0.027332824815662127
AMT,-0.19604196471149404,-0.12922886214555163,-0.034918999370313286,-0.10519611485589908
AWK,-0.024724689165186997,0.017644006227296005,0.04866310160427756,0.0005831328814052128
AMP,-0.13181691984293842,-0.10864298075944356,-0.12656864114278832,-0.057340338486714826
AME,0.19692848237560878,0.1474439072092142,0.01470093682440643,-0.04735916287041686
AMGN,0.15513571919714475,0.3016640224329421,0.05714371329258028,-0.0444474539544959
APH,0.8222815605993139,0.005731128213524617,-0.10966152062042467,-0.06706159337738316
ADI,0.4898444560719213,0.26621119016817585,0.1277905804407311,-0.007792948332119187
AON,-0.17495638101499478,-0.07013594003818768,-0.08481992595085874,-0.040014122631517046
APA,1.0266033254156763,0.7562783038287364,0.7570016474464563,0.30738584125038226
AAPL,0.14994577006507592,-0.008880579574667813,-0.07134776103061946,-0.011652295502213916
AMAT,1.2467118373854063,0.6963587120072212,0.30004612546125475,0.04314838232119156
APTV,0.07732115677321083,-0.16315913927642456,-0.0754963427377221,-0.024531422271223513
ACGL,-0.023692725185261887,0.0456069751844399,-0.029265255292652004,-0.036365509426187326
ADM,0.5351903040612358,0.18399475237782736,0.25173370319001265,0.07185273159144834
ANET,0.5010420497732018,-0.14251698298200255,-0.06434357328442641,-0.0766910489405026
AJG,-0.37070965439295667,-0.30111646957785554,-0.1885714285714285,-0.07046832440031625
T,0.04563563926113745,0.021946902654866873,0.1740544936966233,0.009440559440559104
ATO,0.21945203653089984,0.10026464573559624,0.08809183916250385,-0.009529481834425257
ADSK,-0.11539171187128638,-0.2511090284286156,-0.19543547575096454,-0.0805814444060905
ADP,-0.3240182769353026,-0.29248683116162977,-0.20859014614102445,-0.09643726488161053
AZO,-0.07718150929948364,-0.17753694342413118,-0.019696860234941105,-0.06337938727276726
AVB,-0.23581460674157206,-0.14650980392156754,-0.10710573819812896,-0.0805497662366923
AVY,-0.058684786881562756,0.05780638646977265,-0.07688071373499283,-0.06456833528656736
AXON,-0.1927228318456914,-0.36815619684851286,-0.23491966230936767,-0.21282594609740324
BKR,0.41660978384527936,0.24395604395604442,0.3765200088436873,0.042182792099096256
BALL,0.16237314597970243,0.23057851239669347,0.1405591727307538,-0.045359833306619746
