,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
FMC,0.11920057102069981,0.17806160781367453,-0.5242718446601942,-0.6276418902873417,95.79,15.68,30.7,9.63,0.7796620348422738
APA,0.30738584125038226,0.7570016474464563,0.7562783038287364,1.0266033254156763,-27.75,42.66,30.82,11.71,0.7606277841416758
CE,0.2534148827726814,0.46206896551723986,0.544723618090454,0.039742939286318224,-8.7,61.48,56.13,11.52,0.7343469829522478
DELL,0.20038246141237526,0.3690606013397728,0.3429095354523235,0.8293089092422983,-18.35,175.76,143.51,9.58,0.6535556961055015
HPE,0.18681839734471328,0.024979524979524825,0.036009933774834524,0.5604738154613464,-13.26,25.03,21.71,6.66,0.6475365520522107
OXY,0.18754619364375413,0.6083583583583589,0.36977834612105664,0.29367954911433114,-14.75,64.27,54.79,8.87,0.6455016597500418
DOW,0.18603251053582204,0.713043478260869,0.7787810383747187,0.1095466065896924,-18.38,39.4,32.16,11.05,0.6366958332708843
AKAM,0.17252780282536806,0.31968876860622575,0.5554226475279103,0.43877551020408023,-17.12,117.03,97.0,5.72,0.6233251445660618
LYB,0.1554991792269811,0.8116518483855872,0.5837594600122726,0.09148576261629437,-10.55,77.43,69.26,9.86,0.6161171594571037
DAL,0.13316369804919415,-0.05729607677109749,0.17917034421888878,0.39340842720066704,-0.76,66.8,66.29,7.02,0.6089347061229865
DVN,0.15427927927927887,0.4188815060908089,0.435172220666477,0.37032085561497174,-18.71,51.25,41.66,9.33,0.5988779422005036
COP,0.13844442542996482,0.44950430330101265,0.37633185062584196,0.2911208151382816,-13.81,133.05,114.67,7.12,0.5898318832563072
HAL,0.14029411764705935,0.38563259471050815,0.574096630125863,0.5120904836193461,-16.71,38.77,32.29,5.98,0.586378541507656
CTRA,0.1532258064516132,0.3915920591669919,0.5116279069767462,0.24045801526717647,-25.76,35.75,26.54,7.63,0.5839843332137733
CF,0.14342560553633188,0.7029116207163097,0.47555257870060275,0.7271658173265381,-24.21,132.18,100.18,8.39,0.5755129973138715
FANG,0.12354675418590388,0.3769173086099926,0.38846497559634163,0.2396734794083344,-12.33,201.98,177.08,5.54,0.575256507994992
EOG,0.12229503200243896,0.4202102015234803,0.2573843264469875,0.14160595256549424,-14.68,147.29,125.67,6.9,0.569237539698673
SLB,0.11600085451826536,0.3783641160949873,0.5128873443382564,0.23411292227734637,-13.88,52.24,44.99,5.71,0.5634180476985517
MPC,0.12133739154136203,0.49039971017993,0.2588097302259178,0.6535369774919606,-24.23,246.84,187.02,7.67,0.5496121141937651
PSX,0.11165518075202585,0.4287157175044676,0.32209360845495705,0.4548259493670874,-20.84,183.89,145.56,7.48,0.5448441283530111
OKE,0.0774550484094052,0.27652601392871845,0.2746113989637309,-0.07683191783527576,-0.97,93.48,92.57,3.62,0.5433009686263378
APD,0.07680418062046868,0.19394458726078168,0.10315186246418429,-0.007832898172323355,-2.46,292.6,285.39,4.12,0.5396518583899315
KMX,0.011153298528713496,0.08588175331294523,-0.06104010577346952,-0.4316393223956253,36.35,42.61,58.1,1.94,0.5379826953062983
CTVA,0.07586206896551695,0.2298081213743859,0.2334775473668509,0.3199233716475094,-6.17,82.68,77.58,3.73,0.5313602513945066
SWKS,0.03491135075854479,-0.11834319526627235,-0.28555205047318566,-0.16143364928910064,14.84,56.62,65.02,2.13,0.5241219979643431
EQT,0.07886231415643175,0.2376714868372256,0.24020063161805671,0.2658323852863087,-11.77,66.76,58.9,4.72,0.5240224979042611
ROP,-0.04309709135600159,-0.22205692970380586,-0.29092123370841205,-0.39804140537754584,61.69,350.37,566.53,1.57,0.5235622805624267
FDS,-0.07932414406402855,-0.2843218581501453,-0.26939769238911815,-0.5306677546579633,82.34,207.06,377.55,6.23,0.5211572227789905
ON,0.07078711040676122,0.1056363636363642,0.2235412474849119,0.3516336963769744,-9.47,60.81,55.05,3.43,0.5190240930481087
XOM,0.09012591119946989,0.3804968110104068,0.4249826749826746,0.39312330623306035,-22.62,164.5,127.29,5.5,0.5161874971940618
CVX,0.09194432728806423,0.3776772648663038,0.29062811565304014,0.23432657926102496,-26.06,207.12,153.15,4.8,0.5116512267293477
VLO,0.10484554005260116,0.5109119726895872,0.42238163558106256,0.8478341907105031,-33.88,247.85,163.87,9.91,0.511604594421449
BG,0.07770241263844735,0.41830508474576233,0.5834489718682985,0.6905050505050527,-17.56,125.52,103.48,4.56,0.511445663512017
STZ,0.02631938747607321,0.07151523802726523,0.13314212393388236,-0.18358801457392893,13.06,150.13,169.73,2.19,0.5106130971220159
GLW,0.09736094194072265,0.5079223387636691,0.7104164029869655,1.8710431272572725,-30.26,135.14,94.24,7.2,0.5098553479364613
CDW,-0.01562881562881535,-0.12836961222430499,-0.228369065849924,-0.2765180975171998,37.97,120.93,166.85,2.66,0.5097636069875882
FIS,-0.01697892271662771,-0.24977658623771226,-0.2088895869326225,-0.3232567513099557,38.59,50.37,69.81,2.74,0.5093841427793201
MGM,0.05688538439876112,0.013228941684665152,0.09035444509006396,0.17025257249766224,-6.08,37.53,35.25,4.99,0.5093156600025914
HPQ,-0.0036008230452672096,-0.16292134831460625,-0.27669902912621325,-0.32414515003489186,30.25,19.37,25.23,3.38,0.5088883199743996
ADM,0.07185273159144834,0.25173370319001265,0.18399475237782736,0.5351903040612358,-15.53,72.2,60.99,3.68,0.5085298721533619
QRVO,0.04137574347039075,-0.06381494827385847,-0.1327662323678267,0.0734372917499655,0.25,80.54,80.74,1.54,0.5034211596067785
EMN,0.029710041422653655,0.14902773350334764,0.17697959183673606,-0.19452513966480378,7.03,72.09,77.16,3.3,0.5028992844306289
MTD,0.05019950124688277,-0.10672191072804815,0.050251882886926724,0.06405073525696214,-6.77,1263.39,1177.81,3.45,0.5001504994438559
NTAP,0.03626067951520007,-0.05077805077805009,-0.1347876575978757,0.1275537779699487,1.55,104.31,105.93,4.08,0.4999510449488971
PYPL,-0.03346121057118501,-0.24328383113632523,-0.3196819681968198,-0.3510303377218087,41.98,45.35,64.39,2.84,0.4966542418871769
DVA,0.039909688558336986,0.3715186547556484,0.20341197264274213,0.03612544660579742,-3.55,156.6,151.04,2.61,0.49434170538630057
VRSN,0.031839525496334176,0.018954647142567005,-0.11533707666772641,0.011630254815652386,-0.27,250.51,249.84,2.01,0.4912480592632106
TRGP,0.05567515090118591,0.35886987231730605,0.4583090379008752,0.2414991312980881,-15.25,250.1,211.96,2.82,0.49013077569243635
CSCO,0.04544875875238685,0.05295550711629682,0.21228225568349557,0.33074056068708435,-9.53,82.12,74.29,2.17,0.4892402604680837
BXP,0.003782863627766364,-0.23264893001735054,-0.2952191235059758,-0.2290819291109808,15.39,53.07,61.24,2.56,0.48874068858296094
ALB,0.07483496822752778,0.18067226890756238,1.056421152030218,1.301453104359311,-28.91,174.22,123.86,5.11,0.48609643528195523
ETN,0.02714450201496832,0.10453166594440666,-0.020693251365370924,0.2527383794410891,-0.39,356.83,355.43,2.25,0.48551834699610996
CZR,0.01896813353565996,0.09811937857726827,0.040681906237893584,-0.024691358024692467,3.87,26.86,27.9,6.73,0.48419920637084696
MRK,0.02679574725559708,0.11257843963660141,0.5329719963866313,0.34973298488808235,-0.98,118.79,117.63,2.39,0.48396681588305285
FFIV,0.02383952951060686,0.11821831389791537,-0.0959196290571871,0.07147567409144218,0.76,292.47,294.68,1.92,0.4838769484952419
HUM,-0.022525292046280176,-0.32261688035015645,-0.31125201843172723,-0.35251212558776623,28.37,174.88,224.49,4.5,0.48308777581051776
EQIX,0.02964765928245172,0.26992964451967705,0.22876812243278777,0.15657557180194304,-3.48,960.27,926.87,1.66,0.48246197340052677
AMD,0.06677075201665361,-0.04513905063585988,0.273009564029314,0.8629464691447781,-26.14,204.98,151.4,6.07,0.4820215714835536
ALGN,0.018028915385058353,0.11952872616710031,0.4176626293414609,0.06418593448940402,3.0,176.74,182.05,5.06,0.4814137967870622
KLAC,0.07623127933834994,0.1342227596821315,0.36618239600476765,1.051514764156979,-33.52,1444.41,960.18,3.75,0.4787989379030291
WDC,0.11523692810457531,0.5245993187021847,1.5517338068978397,5.411695631751993,-57.27,273.01,116.67,11.39,0.47845074532451376
BWA,0.059829059829059617,0.20202687816699605,0.26325538319055264,0.8108197809492201,-24.62,54.56,41.13,3.53,0.4768390110982929
PFE,0.01814814814814847,0.09916033586565431,0.16680814940577293,0.09304174950298227,-0.4,27.49,27.38,1.69,0.4749655306859173
SRE,0.029309971879732277,0.07197567019599038,0.1021424435437166,0.348398979880987,-8.2,95.17,87.37,2.15,0.4729210754442139
TER,0.08901772281950593,0.49621899576527406,1.2373916321145861,2.3760664315777444,-44.68,296.79,164.18,5.14,0.47214631319498773
CI,-0.00047912136512739956,-0.011949868842902611,-0.04267711532352081,-0.1540069251645516,9.07,271.2,295.81,1.91,0.47150482654320375
BIIB,0.03430279967382499,0.07918321043675514,0.4045474678871974,0.33797468354430094,-12.44,190.26,166.6,3.2,0.4705514986551603
RCL,-0.015251798561150998,-0.06814623187419144,-0.15638963360142955,0.24487290255104366,16.3,273.76,318.38,6.61,0.4682170530822096
TSN,0.025444462567280945,0.07968401167782968,0.17229162782025065,0.020948359857095422,-8.57,62.87,57.48,2.63,0.4676782030615241
ELV,0.015280898876404603,-0.14630813953488264,-0.07098794723355784,-0.3159010436079006,-3.28,293.67,284.05,4.37,0.46602807908532295
WAT,-0.006391998410279931,-0.2195369406867842,0.04423947093630343,-0.18251178506226318,9.75,300.01,329.27,2.95,0.46589926959641736
STX,0.07455392658256588,0.3305657191106104,0.7224575306280452,3.3173515981735138,-40.3,378.2,225.79,7.02,0.4636980094178776
NWSA,-0.01424501424501412,-0.08013672616786927,-0.19588313413014558,-0.11702515493984511,13.29,24.22,27.44,1.38,0.46356365007312894
MTCH,0.009545753785385358,-0.06379731379731302,-0.14401339659503165,-0.03462385898646492,-1.3,30.67,30.27,1.64,0.463149512456113
BAX,-0.05722379603399408,-0.12788259958071335,-0.2324723247232472,-0.4998497144574692,38.76,16.64,23.09,4.64,0.46259256112852454
MPWR,0.038978904031521155,0.11327528663627517,0.1883435789662946,0.7638325910357109,-19.63,1057.4,849.83,2.79,0.4620951376211102
TXN,0.0010868440120075373,0.0912219338824325,0.06350340884099537,0.05016558988001574,2.94,193.43,199.11,3.8,0.46146080431463815
ZTS,-0.03910891089108892,-0.07143996172859202,-0.17333901192504209,-0.2838078838939788,27.19,116.46,148.12,4.47,0.46138435777400827
POOL,-0.06242378763718248,-0.1357859242607644,-0.34363200577863906,-0.38760568557774866,41.0,199.91,281.87,2.59,0.4608443608252873
EW,0.0076195157920611045,-0.04939130434782624,0.09043755818592714,0.15478873239436508,-1.98,81.99,80.37,3.72,0.45957658989218364
BSX,-0.01572591968548176,-0.2696395082308818,-0.28425566673473557,-0.3142242222657019,11.53,70.1,78.18,2.06,0.4584195303541835
T,0.009440559440559104,0.1740544936966233,0.021946902654866873,0.04563563926113745,-4.05,28.87,27.7,3.66,0.45769792024027683
ARE,-0.053120063191153144,-0.015602545678505053,-0.4292346149267946,-0.5014556040756927,33.56,47.95,64.04,6.59,0.4573218770248646
BKR,0.042182792099096256,0.3765200088436873,0.24395604395604442,0.41660978384527936,-24.64,62.26,46.92,5.5,0.4561390100396117
WST,0.010416241166618878,-0.10671337257592695,-0.02702277465287295,0.10300544011415225,-5.66,247.36,233.35,3.39,0.4557207531452965
DPZ,0.0,0.0,0.0,0.0,0.41,420.37,422.1,6.6,0.45528611509379974
EIX,-0.012985199664898306,0.1791492910758956,0.3100444773906592,0.2234337140879188,8.22,70.69,76.5,2.13,0.4552150346959444
HST,0.010948905109489093,0.050379198266521596,0.1214574898785421,0.31279620853080714,-6.4,19.39,18.15,2.61,0.45491059558065006
BX,-0.030827817571856042,-0.3112757731958765,-0.39034962641875326,-0.2708233849512246,18.45,106.89,126.61,7.48,0.45414562789093293
VRTX,-0.003822495606326859,-0.021365676795579658,0.1873788949986912,-0.0928259912775572,1.96,453.46,462.36,7.59,0.45381381485417777
TEL,-0.009856543378550353,-0.12421234354769128,-0.052262855541545306,0.3553299492385771,5.59,202.92,214.26,3.35,0.45378233088491426
ENPH,0.0007486897928623559,0.2278015921616663,0.08290575209289841,-0.3325565912117171,-1.17,40.1,39.63,4.84,0.45310130126743725
HOLX,-0.0007932310946592303,0.015723693052008603,0.1512566641279498,0.23114513764456435,-0.32,75.58,75.34,0.54,0.4529429006753406
MDLZ,-0.014231824417009209,0.05524963289280582,-0.07942353883106346,-0.13196436660123734,7.78,57.49,61.96,2.77,0.4529028679325656
CPAY,-0.012719158431622524,-0.005650624458214626,0.061777914909664666,-0.1319300409215758,6.79,309.71,330.75,4.01,0.4527557499710083
MKTX,-0.029906440971283144,-0.017472750178014307,0.007866052365434362,-0.16279286847755037,16.98,179.38,209.83,3.63,0.45237614254051806
CHTR,-0.05828008979450883,0.049961494031574905,-0.19309018273285528,-0.4326510442404219,34.04,218.14,292.4,2.76,0.45221027818182424
PPG,-0.012576255279211912,0.01573662869279846,0.014561234329796946,-0.05776464266523296,6.41,105.21,111.95,4.81,0.45218677765250115
AWK,0.0005831328814052128,0.04866310160427756,0.017644006227296005,-0.024724689165186997,-1.89,137.27,134.67,2.66,0.4515123793933104
